21882,FUSION  GOLD   18MM,,,8x2,8x2,8x2,1
21872,FUSION  GOLD   18MM,,,7x2,7x2,7x2,1
21862,FUSION  GOLD   18MM,,,6x2,6x2,6x2,1
21852,FUSION  GOLD   18MM,,,5x2,5x2,5x2,1
21842,FUSION  GOLD   18MM,,,4x2,4x2,4x2,1
21832,FUSION  GOLD   18MM,,,3x2,3x2,3x2,1
21822,FUSION  GOLD   18MM,,,2x2,2x2,2x2,1
21284,FUSION  GOLD   12MM,,,8x4,8x4,8x4,1
21274,FUSION  GOLD   12MM,,,7x4,7x4,7x4,1
21264,FUSION  GOLD   12MM,,,6x4,6x4,6x4,1
21254,FUSION  GOLD   12MM,,,5x4,5x4,5x4,1
21244,FUSION  GOLD   12MM,,,4x4,4x4,4x4,1
21283,FUSION  GOLD   12MM,,,8x3,8x3,8x3,1
21273,FUSION  GOLD   12MM,,,7x3,7x3,7x3,1
21263,FUSION  GOLD   12MM,,,6x3,6x3,6x3,1
21253,FUSION  GOLD   12MM,,,5x3,5x3,5x3,1
21243,FUSION  GOLD   12MM,,,4x3,4x3,4x3,1
21233,FUSION  GOLD   12MM,,,3x3,3x3,3x3,1
21282,FUSION  GOLD   12MM,,,8x2,8x2,8x2,1
21272,FUSION  GOLD   12MM,,,7x2,7x2,7x2,1
21262,FUSION  GOLD   12MM,,,6x2,6x2,6x2,1
21252,FUSION  GOLD   12MM,,,5x2,5x2,5x2,1
21242,FUSION  GOLD   12MM,,,4x2,4x2,4x2,1
21232,FUSION  GOLD   12MM,,,3x2,3x2,3x2,1
21222,FUSION  GOLD   12MM,,,2x2,2x2,2x2,1
2884,FUSION  GOLD   8MM,,,8x4,8x4,8x4,1
2874,FUSION  GOLD   8MM,,,7x4,7x4,7x4,1
2864,FUSION  GOLD   8MM,,,6x4,6x4,6x4,1
2854,FUSION  GOLD   8MM,,,5x4,5x4,5x4,1
2844,FUSION  GOLD   8MM,,,4x4,4x4,4x4,1
2883,FUSION  GOLD   8MM,,,8x3,8x3,8x3,1
2873,FUSION  GOLD   8MM,,,7x3,7x3,7x3,1
2863,FUSION  GOLD   8MM,,,6x3,6x3,6x3,1
2853,FUSION  GOLD   8MM,,,5x3,5x3,5x3,1
2843,FUSION  GOLD   8MM,,,4x3,4x3,4x3,1
2833,FUSION  GOLD   8MM,,,3x3,3x3,3x3,1
2882,FUSION  GOLD   8MM,,,8x2,8x2,8x2,1
2872,FUSION  GOLD   8MM,,,7x2,7x2,7x2,1
2862,FUSION  GOLD   8MM,,,6x2,6x2,6x2,1
2852,FUSION  GOLD   8MM,,,5x2,5x2,5x2,1
2842,FUSION  GOLD   8MM,,,4x2,4x2,4x2,1
2832,FUSION  GOLD   8MM,,,3x2,3x2,3x2,1
2822,FUSION  GOLD   8MM,,,2x2,2x2,2x2,1
2684,FUSION  GOLD 6MM,,,8x4,8x4,8x4,1
2674,FUSION  GOLD 6MM,,,7x4,7x4,7x4,1
2664,FUSION  GOLD 6MM,,,6x4,6x4,6x4,1
2654,FUSION  GOLD 6MM,,,5x4,5x4,5x4,1
2644,FUSION  GOLD 6MM,,,4x4,4x4,4x4,1
2683,FUSION  GOLD 6MM,,,8x3,8x3,8x3,1
2673,FUSION  GOLD 6MM,,,7x3,7x3,7x3,1
2663,FUSION  GOLD 6MM,,,6x3,6x3,6x3,1
2653,FUSION  GOLD 6MM,,,5x3,5x3,5x3,1
2643,FUSION  GOLD 6MM,,,4x3,4x3,4x3,1
2633,FUSION  GOLD 6MM,,,3x3,3x3,3x3,1
2682,FUSION  GOLD 6MM,,,8x2,8x2,8x2,1
2672,FUSION  GOLD 6MM,,,7x2,7x2,7x2,1
2662,FUSION  GOLD 6MM,,,6x2,6x2,6x2,1
2652,FUSION  GOLD 6MM,,,5x2,5x2,5x2,1
2642,FUSION  GOLD 6MM,,,4x2,4x2,4x2,1
2632,FUSION  GOLD 6MM,,,3x2,3x2,3x2,1
2622,FUSION  GOLD 6MM,,,2x2,2x2,2x2,1
2484,FUSION  GOLD4MM,,,8x4,8x4,8x4,1
2474,FUSION  GOLD4MM,,,7x4,7x4,7x4,1
2464,FUSION  GOLD4MM,,,6x4,6x4,6x4,1
2454,FUSION  GOLD4MM,,,5x4,5x4,5x4,1
2444,FUSION  GOLD4MM,,,4x4,4x4,4x4,1
2483,FUSION  GOLD4MM,,,8x3,8x3,8x3,1
2473,FUSION  GOLD4MM,,,7x3,7x3,7x3,1
2463,FUSION  GOLD4MM,,,6x3,6x3,6x3,1
2453,FUSION  GOLD4MM,,,5x3,5x3,5x3,1
2443,FUSION  GOLD4MM,,,4x3,4x3,4x3,1
2433,FUSION  GOLD4MM,,,3x3,3x3,3x3,1
2482,FUSION  GOLD4MM,,,8x2,8x2,8x2,1
2472,FUSION  GOLD4MM,,,7x2,7x2,7x2,1
2462,FUSION  GOLD4MM,,,6x2,6x2,6x2,1
2452,FUSION  GOLD4MM,,,5x2,5x2,5x2,1
2442,FUSION  GOLD4MM,,,4x2,4x2,4x2,1
2432,FUSION  GOLD4MM,,,3x2,3x2,3x2,1
2422,FUSION  GOLD4MM,,,2x2,2x2,2x2,1
31884,R/W 18,,,8x4,8x4,8x4,1
31874,R/W 18,,,7x4,7x4,7x4,1
31864,R/W 18,,,6x4,6x4,6x4,1
31854,R/W 18,,,5x4,5x4,5x4,1
31844,R/W 18,,,4x4,4x4,4x4,1
31883,R/W 18,,,8x3,8x3,8x3,1
31873,R/W 18,,,7x3,7x3,7x3,1
31863,R/W 18,,,6x3,6x3,6x3,1
31853,R/W 18,,,5x3,5x3,5x3,1
31843,R/W 18,,,4x3,4x3,4x3,1
31833,R/W 18,,,3x3,3x3,3x3,1
31882,R/W 18,,,8x2,8x2,8x2,1
31872,R/W 18,,,7x2,7x2,7x2,1
31862,R/W 18,,,6x2,6x2,6x2,1
31852,R/W 18,,,5x2,5x2,5x2,1
31842,R/W 18,,,4x2,4x2,4x2,1
31832,R/W 18,,,3x2,3x2,3x2,1
31822,R/W 18,,,2x2,2x2,2x2,1
31284,R/W 12,,,8x4,8x4,8x4,1
31274,R/W 12,,,7x4,7x4,7x4,1
31264,R/W 12,,,6x4,6x4,6x4,1
31254,R/W 12,,,5x4,5x4,5x4,1
31244,R/W 12,,,4x4,4x4,4x4,1
31283,R/W 12,,,8x3,8x3,8x3,1
31273,R/W 12,,,7x3,7x3,7x3,1
31263,R/W 12,,,6x3,6x3,6x3,1
31253,R/W 12,,,5x3,5x3,5x3,1
31243,R/W 12,,,4x3,4x3,4x3,1
31233,R/W 12,,,3x3,3x3,3x3,1
31282,R/W 12,,,8x2,8x2,8x2,1
31272,R/W 12,,,7x2,7x2,7x2,1
31262,R/W 12,,,6x2,6x2,6x2,1
